assumption,mu_star,sigma,normalized_mu_star
receiver_compatibility,1301775103.903923,613367436.2509515,0.3036156654576355
deployment_reach,1278283757.6665273,573747167.6357305,0.2981367308098816
vsl,658979571.5677177,428674286.5351661,0.1536951509861466
mortality_effect,654976214.573395,424993199.3401915,0.15276143986027654
productivity_value,270768433.76921,131174808.19357967,0.06315187466500191
medical_resource_cost,84949722.54471418,41154219.51437175,0.019812997240081242
public_operating_cost,22300375.609442893,10803502.655360438,0.005201162136463734
property_value,15542370.664084386,7529561.191289133,0.003624978844512831
